Description	TotalSalesDollars	ProfitMargin
Antech Limoux Brut	8093.249999999929	0.917431192659592
Antica Chard Napa Valley	5968.099999999982	31.12380824718065
Antico Colle Chianti Colli	1318.8000000000002	33.7579617834395
Antigal Uno Cab Mendza	3912.5999999999894	72.64478863160039
Antinori Badia Chianti Clsc	2279.3999999999987	28.737825743616707
Antinori Brnllo Mntlcno Pain	7068.699999999993	50.89196033216853
Antinori Cervaro della Salla	1359.6000000000001	37.65813474551339
Antiquary 12 Yr Old Scotch	674.7	24.23299244108493
Anton Bauer Gmork Rose	839.4	34.6676197283774
Anton Bauer Pnt Nr	279.85	100.0
Anton Bauer Wagram Rsv	1124.5500000000002	100.0
Apaltagua Envero Gran Rsv	3752.5	8.892738174550258
Apaltagua Grial Carmenere	3374.5499999999997	100.0
Apimed Old Slavic Mead Dark	4765.500000000001	34.93862134088766
Apimed Old Slavic Mead Light	3177.0000000000014	39.09348441926346
Apimed Slovak Mead	2322.9000000000005	38.16350251840374
Apimed Trnava Mead	1678.5	40.12511170688114
Aquilon 06 Garnacha de Borja	3149.6499999999983	90.60213039544077
Aquinas Napa Chard	3217.6999999999975	85.31559809802032
Arabella Chard	659.4	33.75796178343949
Arca Nova Rose	1318.8000000000002	31.028207461328478
Arcanum Toscana Rosso	8074.0499999999865	100.0
Arcanum Valadorna Toscana	649.9	100.0
Archetype Shiraz/Cab Barossa	714.4500000000004	26.768843166071836
Areo Pnt Nr	239.8	100.0
Aresti Est Chardonnay	424.15000000000003	100.0
Aresti Pnt Nr Curico Vly	474.0500000000004	96.54044931969203
Argentiera Poggio Ginerpi Bo	1139.4	32.43812532912059
Argiano Non Confunditur Rsso	1319.4000000000003	35.47066848567532
Argiola Costera Isola dei N	749.2500000000001	45.94594594594595
Argiolas SerraLori Rose 13	2516.9999999999977	33.778307508939164
Arindo Verdejo Rueda	3541.8499999999885	63.713878340415185
Armand Kabinett Rsl	2888.4999999999936	46.40817033062132
Armorik Single Malt Whiskey	5998.999999999987	96.24020670111683
Arnaldo Caprai Grecante Grec	8070.749999999969	4.618529876405162
Arrogant Frog Chardonnay	1198.8000000000002	67.51751751751752
Arrow Apricot Brandy	2876.400000000002	24.28035043804764
Arrow Blackraspberry Liqueur	1917.6000000000008	20.650813516896157
Arrowood Chard Sonoma Cty	2674.9499999999985	100.0
Arrowood Sonoma Est Cab Svgn	8834.800000000001	26.6038846380224
Artesa Elements Napa Red	3721.6499999999924	2.8992516760037237
Asamai Shuzo Heavens Door	599.8000000000001	1.3171057019006485
Aska Bolgheri Rosso	2174.2499999999995	28.876624123260886
Assyrtiko-Athiri Atlantis	959.4	33.77110694183865
Astraly Touraine Nobel Rose	449.7	31.02068045363576
Astrolabe Pnt Nr Marlborough	1949.2500000000005	100.0
Astrolabe Svgn Bl Marlboro	454.6500000000001	100.0
Atalon Cab Svgn Napa	7947.349999999969	55.9022818927062
Atholl Brose Scotch Liqueur	1649.7	27.532278596108384
Atlantico Platino Rum	399.80000000000007	100.0
Atlas Peak Cab Svgn	2799.199999999999	60.80308659617033
Au Petit Bonheur Pallieres R	1124.2500000000005	100.0
Auchentoshan Classic Scotch	1799.4000000000003	94.4009114149161
Austerity White	179.79999999999998	100.0
Autard Chntf du Pape	1399.6000000000001	100.0
Auvigue Saint-Veran 13	961.9500000000004	100.0
Avalon Merlot Napa Vly	49.95	100.0
Avante Tinto Fino Ribera Del	4462.649999999999	32.43812532912057
Aviary Chard	1079.4	42.30127848804893
Avion Espresso	1014.6500000000001	39.97930320800276
B & B Dom VAP	6597.399999999975	97.25497923424378
B & G Cotes du Rhone Red	779.4	49.03772132409546
B & G Sancerre Svgn Bl	1219.5500000000002	15.329424787831577
B Side Cab Svgn	4438.149999999992	1.5806135439314442
B Side Napa Vly Red	6297.299999999991	46.73907865275587
BR Cohn Olive Hill Cab Svgn	499.90000000000003	33.32666533306664
BV Coastal Estate Moscato	824.2500000000005	57.7797998180164
BV Coastal Estate Red	2252.9500000000003	1.5690539070995966
BV Coastal Estate Svgn Bl	2801.7499999999995	52.779512804497216
Bacardi 8 Gift Set	4348.249999999995	91.78980049445178
Bacardi Artic Grape Rum	979.3	51.046665985908305
Bacardi Dragon Berry Trav	3546.449999999979	87.920314680878
Bacardi Limon & Mango 2 Pak	2198.9000000000005	100.0
Bacardi Limon Traveler	2047.9500000000016	96.4403427818062
Bacardi Oakheart Spiced Trav	1998.0000000000016	98.13313313313313
Bacardi Party Drinks Hurricn	799.5000000000002	33.35834896810509
Bacardi Party Drinks Rum Run	1519.0500000000006	4.315196998123823
Bacardi Peach Red Rum	1438.8	39.6163469557965
Bacardi Pineapple Fusion Trv	4595.399999999965	100.0
Bacardi Strawberry Daquiri	419.4000000000002	100.0
Baileys Coffee	2493.449999999999	100.0
