Description	TotalSalesDollars	ProfitMargin
C K Mondavi Svgn Bl Cal	359.70000000000016	38.44870725604673
C K Mondavi Wh Znfdl	769.0000000000006	38.04941482444738
C Y Toro Diablo Red	59.95	33.778148457047536
C'est La Vie Syrah-Grenache	139.9	32.451751250893494
Cadaretta Svgn Bl Semillon C	1379.4	31.97042192257503
Calandray RSV Cotes Roussiln	1079.4	35.07504168982769
Calico Jack Cherry Rum	1019.4	28.546203649205403
Calma Rioja	1279.2000000000005	50.656660412758
Cambas Nemea RSV Attica Rd	899.4000000000001	67.54503002001333
Camelot Merlot	494.55000000000007	20.149630977656482
Cameron Hughes Cam Coll Char	1488.9500000000007	63.41045703347999
Camila Malbec	1174.8	66.24106230847805
Candor Znfdl	839.4	35.453895639742676
Cantele Chard Salento	1753.65	52.1597810281413
Cantine Cantena Fiano Avelno	1614.1500000000005	3.280364278412831
Canyon Oaks Pink Moscato	359.4	33.7228714524207
Canyon Oaks Znfdl Cal	718.8	31.051752921535886
Caposaldo Moscato	839.4	32.451751250893494
Caposaldo Pnt Grigio Veneto	764.1500000000005	53.28142380422696
Capt Morgan ParrotBayPassion	149.9	25.350233488992668
Carmel Road Chard Liberated	958.8	35.04380475594493
Carmel Road Pnt Gris	557.4	31.001076426264795
Carnaval Red Moscato Sparklg	879.2000000000003	51.000909918107396
Carol Shelton Wild Thing Zin	674.5000000000003	22.07561156412161
Cartlidge & Browne Cab Svgn	839.4	33.30950679056469
Casa Julia Merlot Rapel	1079.1000000000001	55.240478176258
Casa Liliana Good Merlot	714.3500000000004	81.82963533282006
Casal Garcia Duoro Red	1158.5500000000006	18.898623279098924
Catena Malbec Mendoza	539.4	31.92436040044494
Cavit Chard	943.9500000000003	50.548228190052455
Cavit Pinot Grigio Del Vene	1197.6000000000001	33.266533066132276
Celani Family Cab Svgn	1559.8	31.029619181946387
Cella Lambrusco	359.7	35.446205170975816
Cellier des Dauphines CdR	479.4	33.79224030037547
Ch Bois du Fil Brdx	899.4	34.2228152101401
Ch Fonroque St Emilion 10	519.9	67.53221773417965
Ch Fugue de Nenin 09	869.7000000000002	54.94998275267334
Ch Godeau St Emilion 10 Cru	629.85	77.16916726204653
Ch Haut Branda Brdx Rouge	1493.65	25.765741639607683
Ch Haut-BrionPessac-Leo Gr C	1499.95	35.48451615053836
Ch Hermitage Mazeyres Pomerl	1664.5500000000002	13.418040911958192
Ch Julien Royalty Red	317.4	34.97164461247637
Ch La Dom St Emil Gr Cru 09	1674.75	73.33333333333334
Ch La Gordonne Chapelle Rose	839.7000000000002	88.74002619983328
Ch Lestiac Cotes de Bordeaux	47.45	35.0895679662803
Ch Malartic-Lagraviere 10	1229.85	35.47993657763141
Ch Malartic-Lagraviere Rouge	1179.8	67.10459399898288
Ch Maycott Red	52.45	35.08102955195425
Ch Monestier La Tour Blanc	899.4	42.96197464976651
